word,cefrj_cefr,ox5k_cefr,cefrj_pos,ox5k_pos
blade,B2,C1,noun,noun
blanket,A2,B2,noun,noun
bleed,B1,C1,verb,verb
bless,B1,C1,verb,verb
blessing,B1,C1,noun,noun
blind,B1,B2,adjective,adjective
blog,B1,A1,noun,noun
blonde,A2,A1,adjective,adjective
boast,B1,C1,verb,verb
bond,B1,B2,noun,noun
bone,A1,A2,noun,noun
bonus,A2,C1,noun,noun
booking,B1,B2,noun,noun
boom,B1,C1,noun,noun
boot,B1,A1,noun,noun
bored,A2,A1,adjective,adjective
borrow,A1,A2,verb,verb
bother,A2,B1,verb,verb
bounce,B1,C1,verb,verb
bound,B1,B2,adjective,adjective
brain,A1,A2,noun,noun
brave,A2,B1,adjective,adjective
breakdown,B2,C1,noun,noun
breakthrough,B1,C1,noun,noun
breast,B1,B2,noun,noun
breathe,A1,B1,verb,verb
brick,B1,B2,noun,noun
bride,A2,B1,noun,noun
bridge,A1,A2,noun,noun
brief,B1,B2,adjective,adjective
briefly,B1,B2,adverb,adverb
bright,A1,A2,adjective,adjective
broad,B1,B2,adjective,adjective
broadband,B2,C1,noun,noun
broken,A1,A2,adjective,adjective
browser,B2,C1,noun,noun
buddy,B1,C1,noun,noun
budget,A2,B2,noun,noun
bug,A2,B2,noun,noun
bullet,B1,B2,noun,noun
bunch,B1,B2,noun,noun
bureaucracy,B2,C1,noun,noun
burial,B2,C1,noun,noun
burst,B1,C1,verb,verb
bury,A2,B1,verb,verb
bush,A2,B2,noun,noun
button,A1,A2,noun,noun
cabin,B1,B2,noun,noun
cabinet,B2,C1,noun,noun
calculate,B1,B2,verb,verb
calculation,B1,C1,noun,noun
campus,A2,B1,noun,noun
canal,B1,B2,noun,noun
cancel,B1,B2,verb,verb
cancer,B1,B2,noun,noun
candidate,B2,B1,noun,noun
candle,B1,B2,noun,noun
cap,A1,B1,noun,noun
capability,B2,C1,noun,noun
capable,B1,B2,adjective,adjective
capacity,B1,B2,noun,noun
captain,A2,B1,noun,noun
career,B1,A1,noun,noun
careful,A1,A2,adjective,adjective
carefully,A1,A2,adverb,adverb
carpet,B1,A2,noun,noun
carriage,B1,C1,noun,noun
carrot,A2,A1,noun,noun
cartoon,A1,A2,noun,noun
carve,B2,C1,verb,verb
case,A1,A2,noun,noun
casual,B1,B2,adjective,adjective
cattle,B1,C1,noun,noun
caution,B1,C1,noun,noun
cautious,B1,C1,adjective,adjective
cave,B1,B2,noun,noun
cease,B2,C1,verb,verb
ceiling,B2,B1,noun,noun
celebrate,A1,A2,verb,verb
celebration,A1,B1,noun,noun
celebrity,B1,A2,noun,noun
cell,B1,B2,noun,noun
cemetery,B2,C1,noun,noun
cent,A2,A1,noun,noun
century,A2,A1,noun,noun
certainty,B1,B2,noun,noun
chairman,A2,B2,noun,noun
challenging,B1,B2,adjective,adjective
championship,A2,B2,noun,noun
chaos,B1,C1,noun,noun
chapter,A2,B1,noun,noun
character,A1,A2,noun,noun
charity,B1,A2,noun,noun
charm,B1,C1,noun,noun
cheek,A2,B2,noun,noun
chemistry,B1,A2,noun,noun
chest,A2,B1,noun,noun
childhood,A2,B1,noun,noun
chip,B2,A2,noun,noun
choir,B1,B2,noun,noun
chunk,B2,C1,noun,noun
church,A1,A2,noun,noun
citizen,A2,B2,noun,noun
citizenship,B1,C1,noun,noun
civil,B1,B2,adjective,adjective
classical,B1,A2,adjective,adjective
classification,B2,C1,noun,noun
classify,B1,B2,verb,verb
clause,B2,B1,noun,noun
clerk,A2,B2,noun,noun
clever,A1,A2,adjective,adjective
client,B2,B1,noun,noun
cliff,B1,B2,noun,noun
climate,B1,A2,noun,noun
clinic,B1,B2,noun,noun
clip,B1,B2,noun,noun
closed,A1,A2,adjective,adjective
closely,B1,B2,adverb,adverb
closure,B2,C1,noun,noun
cloth,A1,B1,noun,noun
clothing,B2,A2,noun,noun
cloud,A1,A2,noun,noun
clue,A2,B1,noun,noun
coalition,B2,C1,noun,noun
coastal,B1,C1,adjective,adjective
cocktail,B2,C1,noun,noun
code,A1,A2,noun,noun
coin,A2,B1,noun,noun
coincide,B2,C1,verb,verb
colleague,B2,A2,noun,noun
collect,A1,A2,verb,verb
collection,A1,B1,noun,noun
colonial,B2,C1,adjective,adjective
columnist,B1,C1,noun,noun
combination,B1,B2,noun,noun
comedy,B1,A2,noun,noun
commerce,B2,C1,noun,noun
commitment,A2,B2,noun,noun
committee,A2,B2,noun,noun
common,A2,A1,adjective,adjective
commonly,B1,B2,adverb,adverb
communication,A2,B1,noun,noun
community,B2,A2,noun,noun
companion,B1,C1,noun,noun
company,A2,A1,noun,noun
compare,A2,A1,verb,verb
compassion,B2,C1,noun,noun
compensate,B2,C1,verb,verb
compensation,B2,C1,noun,noun
compete,B1,A2,verb,verb
competence,B2,C1,noun,noun
competent,B2,C1,adjective,adjective
compile,B2,C1,verb,verb
complaint,A2,B1,noun,noun
completely,B1,A2,adverb,adverb
complexity,B2,C1,noun,noun
complicated,B1,B2,adjective,adjective
compose,B1,B2,verb,verb
composer,A2,B2,noun,noun
composition,B1,C1,noun,noun
compound,B1,B2,noun,noun
compute,B2,C1,verb,verb
conceal,B2,C1,verb,verb
concede,B2,C1,verb,verb
conceive,B2,C1,verb,verb
concentrate,A2,B1,verb,verb
concentration,B1,B2,noun,noun
concept,B1,B2,noun,noun
conception,B2,C1,noun,noun
concerned,B1,B2,adjective,adjective
concession,B2,C1,noun,noun
condemn,B2,C1,verb,verb
conference,B2,A2,noun,noun
confession,B2,C1,noun,noun
confidence,B1,B2,noun,noun
confident,A2,B1,adjective,adjective
confine,B2,C1,verb,verb
confirmation,B1,C1,noun,noun
confront,B2,C1,verb,verb
confuse,A2,B1,verb,verb
confused,A2,B1,adjective,adjective
confusing,B1,B2,adjective,adjective
confusion,B1,B2,noun,noun
congratulate,B1,C1,verb,verb
connect,B1,A2,verb,verb
conquer,B1,C1,verb,verb
conscience,B2,C1,noun,noun
conscious,B1,B2,adjective,adjective
consciousness,B2,C1,noun,noun
consensus,B2,C1,noun,noun
consequence,A2,B1,noun,noun
consequently,B1,B2,adverb,adverb
conservation,B1,B2,noun,noun
considerable,B1,B2,adjective,adjective
consideration,B1,B2,noun,noun
consist,A2,B1,verb,verb
constantly,B1,B2,adverb,adverb
constitute,B1,C1,verb,verb
constitution,B1,C1,noun,noun
construct,B1,B2,verb,verb
construction,B1,B2,noun,noun
consumption,B1,B2,noun,noun
contain,B1,A2,verb,verb
container,A2,B1,noun,noun
contempt,B2,C1,noun,noun
continually,B1,C1,adverb,adverb
contradiction,B2,C1,noun,noun
contribute,B1,B2,verb,verb
contribution,B1,B2,noun,noun
controversial,B1,B2,adjective,adjective
convenience,A2,B2,noun,noun
convenient,A2,B1,adjective,adjective
conversion,B2,C1,noun,noun
convey,B1,B2,verb,verb
cooking,A2,A1,noun,noun
cooperate,B2,C1,verb,verb
cooperative,B2,C1,adjective,adjective
cop,A1,C1,noun,noun
copper,B2,C1,noun,noun
copyright,B1,C1,noun,noun
corner,A1,A2,noun,noun
correction,B1,C1,noun,noun
correspond,B2,C1,verb,verb
correspondence,B2,C1,noun,noun
correspondent,B2,C1,noun,noun
corresponding,B2,C1,adjective,adjective
corrupt,B2,C1,adjective,adjective
corruption,B2,C1,noun,noun
costly,B2,C1,adjective,adjective
costume,B2,B1,noun,noun
cottage,B2,B1,noun,noun
council,B1,B2,noun,noun
countless,B1,C1,adjective,adjective
country,A2,A1,noun,noun
countryside,A2,B1,noun,noun
county,B1,B2,noun,noun
courage,B1,B2,noun,noun
court,A2,B1,noun,noun
courtesy,B2,C1,noun,noun
crawl,B2,C1,verb,verb
create,A2,A1,verb,verb
creativity,A2,B2,noun,noun
creator,B1,C1,noun,noun
creature,A2,B2,noun,noun
crisis,B1,B2,noun,noun
critic,B1,B2,noun,noun
critical,B1,B2,adjective,adjective
crop,B1,B2,noun,noun
crown,A2,C1,noun,noun
cultivate,B1,C1,verb,verb
curiosity,B1,C1,noun,noun
curious,B1,B2,adjective,adjective
curly,B1,A2,adjective,adjective
curriculum,B1,B2,noun,noun
custom,A2,B1,noun,noun
customer,A2,A1,noun,noun
cute,A1,B2,adjective,adjective
dam,A2,C1,noun,noun
dancer,A2,A1,noun,noun
dangerous,A2,A1,adjective,adjective
dare,B1,B2,verb,verb
darkness,B1,B2,noun,noun
data,B2,A2,noun,noun
dawn,B2,C1,noun,noun
deadline,B1,B2,noun,noun
deadly,B1,B2,adjective,adjective
dealer,B1,B2,noun,noun
debris,B1,C1,noun,noun
debt,B1,B2,noun,noun
decade,B2,B1,noun,noun
decide,A2,A1,verb,verb
decision,B1,A2,noun,noun
decisive,B2,C1,adjective,adjective
declaration,B1,C1,noun,noun
declare,B1,B2,verb,verb
decorate,B2,B1,verb,verb
dedication,B2,C1,noun,noun
deed,B1,C1,noun,noun
deem,B2,C1,verb,verb
deeply,A2,B2,adverb,adverb
defend,B1,B2,verb,verb
defender,B1,B2,noun,noun
deficiency,B1,C1,noun,noun
deficit,B2,C1,noun,noun
definitely,B1,A2,adverb,adverb
defy,B2,C1,verb,verb
delegate,B2,C1,noun,noun
delete,B1,B2,verb,verb
delicate,B1,C1,adjective,adjective
delighted,B1,B2,adjective,adjective
delivery,B1,B2,noun,noun
democracy,B1,B2,noun,noun
democratic,B1,B2,adjective,adjective
demonstrate,B1,B2,verb,verb
demonstration,B1,B2,noun,noun
dense,B2,C1,adjective,adjective
deny,B1,B2,verb,verb
depart,B1,B2,verb,verb
department,B1,A2,noun,noun
dependent,B1,B2,adjective,adjective
depressed,B1,B2,adjective,adjective
depressing,B1,B2,adjective,adjective
depression,B1,B2,noun,noun
deprive,B1,C1,verb,verb
depth,B1,B2,noun,noun
deputy,B2,C1,noun,noun
derive,B1,B2,verb,verb
descend,B2,C1,verb,verb
description,A2,A1,noun,noun
deserve,B1,B2,verb,verb
designer,B1,A2,noun,noun
desirable,B2,C1,adjective,adjective
desktop,B2,C1,noun,noun
desperate,B1,B2,adjective,adjective
destruction,B1,B2,noun,noun
destructive,B1,C1,adjective,adjective
detective,B1,A2,noun,noun
determination,B1,B2,noun,noun
determined,B2,B1,adjective,adjective
devastate,B1,C1,verb,verb
device,B1,A2,noun,noun
devil,B2,C1,noun,noun
diamond,A2,B1,noun,noun
dictator,B2,C1,noun,noun
die,A2,A1,verb,verb
diet,A2,A1,noun,noun
differ,B1,B2,verb,verb
difficulty,A2,B1,noun,noun
dig,B1,B2,verb,verb
digital,B1,A2,adjective,adjective
dignity,B2,C1,noun,noun
dilemma,B2,C1,noun,noun
dimension,B2,C1,noun,noun
dip,B2,C1,verb,verb
diplomat,B2,C1,noun,noun
disability,B1,B2,noun,noun
disabled,B1,B2,adjective,adjective
disadvantage,A2,B1,noun,noun
disagreement,B1,B2,noun,noun
disappoint,B1,B2,verb,verb
disappointed,A2,B1,adjective,adjective
disappointing,A2,B1,adjective,adjective
disappointment,B1,B2,noun,noun
disaster,B1,A2,noun,noun
disastrous,B1,C1,adjective,adjective
discourage,B1,B2,verb,verb
discovery,B1,A2,noun,noun
discrimination,B1,C1,noun,noun
disease,B1,A2,noun,noun
dishonest,A2,B2,adjective,adjective
displace,B2,C1,verb,verb
disposal,B2,C1,noun,noun
disrupt,B2,C1,verb,verb
dissolve,B1,C1,verb,verb
distance,B1,A2,noun,noun
distant,B1,B2,adjective,adjective
distinction,B1,C1,noun,noun
distinguish,B1,B2,verb,verb
distribute,B1,B2,verb,verb
distribution,B1,B2,noun,noun
district,B1,B2,noun,noun
disturb,A2,B2,verb,verb
diverse,B1,B2,adjective,adjective
divert,B2,C1,verb,verb
divine,B1,C1,adjective,adjective
divorced,B1,A2,adjective,adjective
donate,B2,B1,verb,verb
dose,B2,C1,noun,noun
dot,B1,B2,noun,noun
drag,B1,B2,verb,verb
drain,B2,C1,verb,verb
drama,A1,A2,noun,noun
dramatic,B1,B2,adjective,adjective
dressed,A2,B1,adjective,adjective
drown,B1,C1,verb,verb
drum,A1,B1,noun,noun
due,A1,B1,adjective,adjective
dull,B1,B2,adjective,adjective
dumb,B2,C1,adjective,adjective
dump,B1,B2,verb,verb
during,A2,A1,preposition,preposition
dust,A2,B1,noun,noun
eager,B1,C1,adjective,adjective
earnings,B2,C1,noun,noun
earthquake,A2,B1,noun,noun
ecological,B1,C1,adjective,adjective
economics,B1,B2,noun,noun
edition,B1,B2,noun,noun
editor,A2,B1,noun,noun
educated,B2,B1,adjective,adjective
educational,A2,B1,adjective,adjective
educator,B2,C1,noun,noun
effectively,B2,B1,adverb,adverb
effectiveness,B2,C1,noun,noun
efficiency,B1,C1,noun,noun
efficient,B1,B2,adjective,adjective
effort,A2,B1,noun,noun
elbow,B1,B2,noun,noun
elderly,A2,B2,adjective,adjective
electrical,B1,A2,adjective,adjective
electricity,B1,A2,noun,noun
electronic,B1,A2,adjective,adjective
elementary,A1,B2,adjective,adjective
elephant,A2,A1,noun,noun
eligible,B2,C1,adjective,adjective
eliminate,B1,B2,verb,verb
elite,B2,C1,noun,noun
elsewhere,A2,B2,adverb,adverb
embarrassing,A2,B1,adjective,adjective
embarrassment,B1,C1,noun,noun
embassy,B2,C1,noun,noun
emerge,B1,B2,verb,verb
emergence,B2,C1,noun,noun
emergency,A2,B1,noun,noun
emotional,B1,B2,adjective,adjective
emotionally,B1,B2,adverb,adverb
emphasis,B1,B2,noun,noun
empire,B1,B2,noun,noun
employ,B2,A2,verb,verb
employee,B2,A2,noun,noun
employer,B2,A2,noun,noun
enable,B1,B2,verb,verb
encourage,A2,B1,verb,verb
encouragement,B1,C1,noun,noun
encouraging,B1,C1,adjective,adjective
endless,B1,C1,adjective,adjective
endorse,B2,C1,verb,verb
endure,B1,C1,verb,verb
energy,B2,A2,noun,noun
enforce,B2,C1,verb,verb
engage,B1,B2,verb,verb
engagement,B2,C1,noun,noun
engine,B1,A2,noun,noun
engineer,A1,A2,noun,noun
enjoyable,B1,B2,adjective,adjective
enrich,B1,C1,verb,verb
ensure,B1,B2,verb,verb
enterprise,B2,C1,noun,noun
entertainment,A2,B1,noun,noun
enthusiasm,B1,B2,noun,noun
enthusiast,B1,C1,noun,noun
enthusiastic,B1,B2,adjective,adjective
entire,B1,B2,adjective,adjective
entirely,B1,B2,adverb,adverb
entitle,B2,C1,verb,verb
entrance,A2,B1,noun,noun
envelope,A2,B2,noun,noun
environment,B2,A2,noun,noun
episode,A2,B1,noun,noun
equality,B1,C1,noun,noun
equation,B2,C1,noun,noun
equipment,B1,A2,noun,noun
era,B1,B2,noun,noun
essence,B1,C1,noun,noun
establish,A2,B2,verb,verb
establishment,B1,C1,noun,noun
eternal,B1,C1,adjective,adjective
euro,A2,A1,noun,noun
evacuate,B2,C1,verb,verb
ever,A2,A1,adverb,adverb
everyday,A1,A2,adjective,adjective
everywhere,A1,A2,adverb,adverb
evident,B1,B2,adjective,adjective
exact,B1,A2,adjective,adjective
exam,A2,A1,noun,noun
examination,B1,B2,noun,noun
excellence,B1,C1,noun,noun
excellent,A1,A2,adjective,adjective
exceptional,B2,C1,adjective,adjective
exclusion,B2,C1,noun,noun
exclusive,B1,C1,adjective,adjective
exclusively,B2,C1,adverb,adverb
execute,B2,C1,verb,verb
execution,B2,C1,noun,noun
exhibition,A2,B1,noun,noun
exile,B2,C1,noun,noun
existence,B1,B2,noun,noun
expected,B2,B1,adjective,adjective
expedition,B2,B1,noun,noun
expense,B1,B2,noun,noun
explain,A2,A1,verb,verb
explode,B2,B1,verb,verb
exploration,B1,B2,noun,noun
explore,A2,B1,verb,verb
expose,B1,B2,verb,verb
express,B1,A2,verb,verb
extend,B1,B2,verb,verb
extensively,B1,B2,adverb,adverb
extent,B1,B2,noun,noun
extraordinary,B1,B2,adjective,adjective
facilitate,B2,C1,verb,verb
facility,B1,B2,noun,noun
fact,A2,A1,noun,noun
factor,B2,A2,noun,noun
factory,A1,A2,noun,noun
faculty,B2,C1,noun,noun
fade,B1,C1,verb,verb
failure,B1,B2,noun,noun
fairly,A2,B1,adverb,adverb
fake,B1,B2,adjective,adjective
familiar,A2,B1,adjective,adjective
fan,A1,A2,noun,noun
fantastic,A2,A1,adjective,adjective
fantasy,B1,B2,noun,noun
fare,A2,B2,noun,noun
farming,B1,A2,noun,noun
fascinating,A2,B1,adjective,adjective
fatal,B2,C1,adjective,adjective
fate,B2,C1,noun,noun
fault,A2,B2,noun,noun
feat,B2,C1,noun,noun
feather,A2,B2,noun,noun
fee,A2,B2,noun,noun
fence,A2,B1,noun,noun
fever,A1,B2,noun,noun
field,A1,A2,noun,noun
fierce,B2,C1,adjective,adjective
fighting,B2,B1,noun,noun
film-maker,B1,C1,noun,noun
finding,B1,B2,noun,noun
finger,B1,A2,noun,noun
firearm,B2,C1,noun,noun
firefighter,B1,B2,noun,noun
firework,B1,B2,noun,noun
firmly,B1,B2,adverb,adverb
firstly,B2,A2,adverb,adverb
fishing,A1,A2,noun,noun
fixed,B2,B1,adjective,adjective
flag,A1,B1,noun,noun
flaw,B2,C1,noun,noun
flee,B2,C1,verb,verb
fleet,B2,C1,noun,noun
flesh,B2,C1,noun,noun
flexibility,B2,C1,noun,noun
flight,A2,A1,noun,noun
float,B1,B2,verb,verb
flour,A2,B1,noun,noun
flu,B1,A2,noun,noun
follow,A2,A1,verb,verb
fond,B1,B2,adjective,adjective
foot,B1,A1,noun,noun
forbid,A2,B2,verb,verb
foreign,A1,A2,adjective,adjective
foreigner,A1,C1,noun,noun
forever,A2,B1,adverb,adverb
forgive,B1,B2,verb,verb
formal,B1,A2,adjective,adjective
former,B1,B2,adjective,adjective
formula,B1,C1,noun,noun
forth,B1,C1,adverb,adverb
forthcoming,B2,C1,adjective,adjective
fortunate,B1,B2,adjective,adjective
fortune,A2,B2,noun,noun
foundation,B1,B2,noun,noun
fragment,B1,B2,noun,noun
frankly,B2,C1,adverb,adverb
freedom,A2,B2,noun,noun
freely,B1,B2,adverb,adverb
freeze,A2,B1,verb,verb
frequency,B1,B2,noun,noun
frequent,B1,B2,adjective,adjective
friendly,B2,A1,adjective,adjective
friendship,A2,B1,noun,noun
frighten,A2,B1,verb,verb
frightened,A2,B1,adjective,adjective
frightening,A2,B1,adjective,adjective
frog,A1,A2,noun,noun
frustrated,B1,C1,adjective,adjective
frustration,B1,C1,noun,noun
fully,A2,B2,adverb,adverb
functional,B2,C1,adjective,adjective
funeral,B1,C1,noun,noun
furthermore,B1,B2,adverb,adverb
gallon,B1,C1,noun,noun
gambling,B2,C1,noun,noun
gap,B1,A2,noun,noun
garage,A2,B1,noun,noun
gather,A2,B1,verb,verb
gay,B1,B2,adjective,adjective
gear,B2,C1,noun,noun
gender,A2,B2,noun,noun
gene,B1,B2,noun,noun
generate,B1,B2,verb,verb
generation,A2,B1,noun,noun
genetic,B1,B2,adjective,adjective
gentle,A2,B1,adjective,adjective
geography,B1,A1,noun,noun
gesture,B1,B2,noun,noun
ghost,A1,B1,noun,noun
gift,A1,A2,noun,noun
glad,A1,B1,adjective,adjective
glimpse,B1,C1,noun,noun
globe,A2,B2,noun,noun
glorious,B1,C1,adjective,adjective
glory,B1,C1,noun,noun
glove,A2,B1,noun,noun
goal,A1,A2,noun,noun
god,B2,A2,noun,noun
golden,A2,B2,adjective,adjective
gorgeous,B1,B2,adjective,adjective
govern,B1,B2,verb,verb
governor,B1,B2,noun,noun
grab,B1,B2,verb,verb
grace,A2,C1,noun,noun
gradually,A2,B2,adverb,adverb
grain,B2,B1,noun,noun
graphic,B1,B2,adjective,adjective
graphics,B1,B2,noun,noun
grass,A1,A2,noun,noun
grateful,A2,B1,adjective,adjective
greatly,A2,B2,adverb,adverb
greenhouse,B1,B2,noun,noun
greet,A1,A2,verb,verb
grief,B2,C1,noun,noun
gross,B2,C1,adjective,adjective
ground,A1,A2,noun,noun
guerrilla,B2,C1,noun,noun
guest,A1,A2,noun,noun
guidance,B1,C1,noun,noun
guilt,B1,C1,noun,noun
guy,A1,A2,noun,noun
gym,B1,A1,noun,noun
habit,A1,A2,noun,noun
habitat,B1,B2,noun,noun
hail,B2,C1,verb,verb
hall,A1,A2,noun,noun
handy,B1,C1,adjective,adjective
happiness,A2,B1,noun,noun
hardly,A2,B1,adverb,adverb
hardware,B2,C1,noun,noun
harmful,A2,B2,adjective,adjective
harmony,A2,C1,noun,noun
hatred,B1,C1,noun,noun
haunt,B2,C1,verb,verb
hazard,B1,C1,noun,noun
headache,A1,A2,noun,noun
heal,B1,B2,verb,verb
hearing,B1,B2,noun,noun
heart,A1,A2,noun,noun
heating,A2,B1,noun,noun
heaven,B1,B2,noun,noun
heavily,A2,B1,adverb,adverb
heavy,A1,A2,adjective,adjective
heel,B1,B2,noun,noun
height,B1,A2,noun,noun
helicopter,B2,B1,noun,noun
helmet,B1,B2,noun,noun
heritage,B2,C1,noun,noun
hers,A1,A2,pronoun,pronoun
hesitate,B1,B2,verb,verb
hidden,B1,B2,adjective,adjective
hide,A1,A2,verb,verb
highway,A2,B2,noun,noun
hill,A1,A2,noun,noun
hip,B1,B2,noun,noun
historian,B1,B2,noun,noun
hole,A1,A2,noun,noun
holy,B1,B2,adjective,adjective
homeless,B1,B2,adjective,adjective
honesty,B1,B2,noun,noun
hopeful,B1,C1,adjective,adjective
hopefully,B1,B2,adverb,adverb
horizon,B1,C1,noun,noun
horn,B1,C1,noun,noun
horror,A2,B1,noun,noun
household,B1,B2,noun,noun
however,A2,A1,adverb,adverb
huge,B1,A2,adjective,adjective
